collection,campaign,campaign_type,targeting,ad_group,keyword,match_type,bid_usd,daily_budget,language,notes
AI & Artificial Intelligence,AI & Artificial Intelligence | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: Human Compatible Stuart Russell],ASIN,0.4,0.8,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
AI & Artificial Intelligence,AI & Artificial Intelligence | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: The AI Advantage Thomas Davenport],ASIN,0.4,0.8,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
Applied Psychology,Applied Psychology | Auto,Sponsored Products,Auto,auto_all,(auto — Amazon elige targets),Auto,0.35,3.0,en,Lanzar primero. Dejar 2 semanas. Minar search terms para Manual.
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,psychology books bestseller,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,applied psychology,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,cognitive behavioral therapy book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,understanding emotions book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,mental health self help,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,psychology of behavior,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,anxiety self help book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,self esteem book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,trauma healing book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,psychology for everyday life,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,behavioral science book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Broad,Sponsored Products,Keyword,broad_seeds,emotional intelligence book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,mind method book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,method book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,brain creates book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,creates reality book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,creates book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,reality book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,cognitive biases book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,cognitive book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,biases book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,memory identity book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,memory book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,identity book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,attention focus book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,attention book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,learning neuroplasticity book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,learning book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,neuroplasticity book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,decision making book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,decision book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,making book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,emotions brain book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,emotions book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,sleep mind book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,nutrition psychology book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,nutrition book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,psychology book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,exercise mental book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,mental health book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,exercise book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | Manual Exact,Sponsored Products,Keyword,exact_titles,mental book,Exact,0.45,2.5,en,Long-tail de titulos propios. Alta intención de compra.
Applied Psychology,Applied Psychology | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: Thinking Fast and Slow Kahneman],ASIN,0.4,1.0,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
Applied Psychology,Applied Psychology | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: The Body Keeps the Score van der Kolk],ASIN,0.4,1.0,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
Applied Psychology,Applied Psychology | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: Man Search for Meaning Frankl],ASIN,0.4,1.0,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
Entrepreneurship,Entrepreneurship | Auto,Sponsored Products,Auto,auto_all,(auto — Amazon elige targets),Auto,0.35,2.4,en,Lanzar primero. Dejar 2 semanas. Minar search terms para Manual.
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,entrepreneurship book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,startup guide,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,how to start a business,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,small business book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,business mindset,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,entrepreneur mindset book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,building a business,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,business strategy book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,side hustle book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,solopreneur book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,online business book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Broad,Sponsored Products,Keyword,broad_seeds,business growth book,Broad,0.3,2.8,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,launch method book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,launch book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,method book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,think like book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,like entrepreneur book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,entrepreneur book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,fear failure book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,failure book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,resilience business book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,resilience book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,business book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,entrepreneurial identity book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,entrepreneurial book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,identity book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,productive obsession book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,productive book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,obsession book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,entrepreneurial discipline book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,discipline book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,risk decision book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,decision making book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,decision book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,making book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,entrepreneurial self book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,self leadership book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,leadership book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,avoiding entrepreneur book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,entrepreneur burnout book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,avoiding book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | Manual Exact,Sponsored Products,Keyword,exact_titles,burnout book,Exact,0.45,2.0,en,Long-tail de titulos propios. Alta intención de compra.
Entrepreneurship,Entrepreneurship | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: Zero to One Peter Thiel],ASIN,0.4,0.8,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
Entrepreneurship,Entrepreneurship | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: The Lean Startup Ries],ASIN,0.4,0.8,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
Entrepreneurship,Entrepreneurship | ASIN Competidores,Sponsored Products,Product (ASIN),competitor_asins,[BUSCAR EN AMAZON: $100 Startup Chris Guillebeau],ASIN,0.4,0.8,en,Reemplazar [BUSCAR EN AMAZON: ...] con el ASIN real (B0XXXXX). Aparecer en paginas de competidores.
Health and Wellness,Health and Wellness | Auto,Sponsored Products,Auto,auto_all,(auto — Amazon elige targets),Auto,0.35,3.0,en,Lanzar primero. Dejar 2 semanas. Minar search terms para Manual.
Health and Wellness,Health and Wellness | Manual Broad,Sponsored Products,Keyword,broad_seeds,health and wellness book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Health and Wellness,Health and Wellness | Manual Broad,Sponsored Products,Keyword,broad_seeds,healthy lifestyle book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Health and Wellness,Health and Wellness | Manual Broad,Sponsored Products,Keyword,broad_seeds,nutrition book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Health and Wellness,Health and Wellness | Manual Broad,Sponsored Products,Keyword,broad_seeds,better sleep book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Health and Wellness,Health and Wellness | Manual Broad,Sponsored Products,Keyword,broad_seeds,fitness guide book,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
Health and Wellness,Health and Wellness | Manual Broad,Sponsored Products,Keyword,broad_seeds,weight loss mindset,Broad,0.3,3.5,en,"Descubrimiento. Revisar semanalmente, pausar keywords con alto ACOS."
