collection,language,num,title,subtitle,series_title,volume_in_series,author,description,keywords,category_1,category_2,cover_path,md_path,price_usd,price_eur,royalty_pct,net_usd,kdp_select
AI & Artificial Intelligence,en,10,Narrow AI Strong AI and AGI,Separating Myth from Reality,Series 1: AI Fundamentals,10,Enrique Padrón,"What exists today, what might exist in the future, and why the experts disagree so dramatically. A grounded, honest assessment of AI capabilities and their limits.

Isabel's CEO read a headline about AGI and asked if they should be worried. She did not know what to say. This book gives her — and you — the vocabulary to have that conversation honestly.",artificial intelligence;machine learning;AI;technology;narrow;strong;separating,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\010.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_01_AI_Fundamentals\10_Narrow_AI_Strong_AI_and_AGI.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,11,Your Job in 2030,What Disappears What Emerges and How to Position Yourself,Series 2: AI at Work,11,Enrique Padrón,"Which tasks will be automated first, which skills become more valuable, and how to position your career for the decade ahead. Research-based, practical, and honest.

Elena found a journal from 2020 listing her five-year career goals. Reading it in 2026 mixed nostalgia with wonder. She had achieved most technical goals — but the work looked nothing like she had imagined.",artificial intelligence;machine learning;AI;technology;disappears;emerges;position,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\011.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\11_Your_Job_in_2030.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,12,Working with AI as a Colleague,The New Skill of Managing Intelligent Machines,Series 2: AI at Work,12,Enrique Padrón,"The art of directing AI: how to delegate effectively, maintain calibrated trust, and design workflows where human and AI judgment complement each other.

Ruben's team had five people. In early 2025 they added a sixth member: a set of AI tools he started calling 'the assistant'. It never arrived late, never had a bad day, and produced first drafts in seconds. Learning to direct it well was the real work.",artificial intelligence;machine learning;AI;technology;working;colleague;skill,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\012.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\12_Working_with_AI_as_a_Colleague.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,13,Prompts That Work,The Art and Science of Communicating with AI,Series 2: AI at Work,13,Enrique Padrón,"From vague requests to precise instructions: the principles of prompting that consistently produce useful outputs across any AI tool.

'Write me an email' gives you a generic email. 'Write a 150-word email to a client of three years proposing a renewal meeting, professional but warm tone' gives you something usable. The difference is not magic. It is method.",artificial intelligence;machine learning;AI;technology;prompts;science;communicating,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\013.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\13_Prompts_That_Work.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,14,The AI Workflow,How to Integrate AI into Your Daily Work,Series 2: AI at Work,14,Enrique Padrón,"A practical system for integrating AI into your daily professional life: which tasks to delegate, how to measure impact, and how to evolve your workflow as AI improves.

Isabel tracked her time for two weeks before and after integrating AI tools. The time savings were real but the distribution surprised her: she saved more time on tasks she had considered important than on ones she had considered administrative.",artificial intelligence;machine learning;AI;technology;workflow;integrate;daily,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\014.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\14_The_AI_Workflow.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,15,AI for Writers,Writing Better and Faster with Intelligent Assistance,Series 2: AI at Work,15,Enrique Padrón,"How to use AI as a writing partner without losing your voice: brainstorming, drafting, editing, and preserving the authenticity that makes your writing worth reading.

Ruben produced three times as much content in the same hours after integrating AI. But the first month was disorienting: what was his value if AI could produce serviceable copy in seconds? The answer changed how he thought about his profession.",artificial intelligence;machine learning;AI;technology;writers;writing;better,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\015.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\15_AI_for_Writers.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,16,AI for Analysts,Transforming Data Into Insights,Series 2: AI at Work,16,Enrique Padrón,"How AI democratizes data analysis: natural language queries, automated visualization, pattern detection, and the role of human judgment in interpreting results.

Elena's analytics team had a mountain of customer data and a bottleneck: turning raw data into insights required SQL fluency, statistics knowledge, and time. AI removed two of those three requirements for many common tasks.",artificial intelligence;machine learning;AI;technology;analysts;transforming;insights,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\016.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\16_AI_for_Analysts.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,17,AI for Developers,Coding in the Age of Copilots,Series 2: AI at Work,17,Enrique Padrón,"GitHub Copilot, Cursor, and the new developer experience: how AI assistants change what developers spend their time on and which skills become more valuable.

Elena's productivity metrics improved 40% after integrating GitHub Copilot into her workflow. But the more interesting change was qualitative: she spent less time on boilerplate and more time on architecture. The work got harder and more interesting.",artificial intelligence;machine learning;AI;technology;developers;coding;copilots,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\017.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\17_AI_for_Developers.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,18,AI for Managers,Leading Teams in the Era of Intelligent Automation,Series 2: AI at Work,18,Enrique Padrón,"The management skills that AI augments and those it cannot replace. How to lead a team through AI transformation with clarity, honesty, and effectiveness.

Isabel's challenge was not technical: she understood what AI could do. It was organizational: how do you lead a team through a technology transition that changes everyone's job in different ways, at different speeds, with different degrees of comfort?",artificial intelligence;machine learning;AI;technology;managers;leading;teams,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\018.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\18_AI_for_Managers.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,19,AI Meetings and Communication,How AI Changes Professional Interaction,Series 2: AI at Work,19,Enrique Padrón,"AI transcription, summarization, async communication, and meeting intelligence: reclaiming time while improving the quality of human professional interaction.

Ruben tracked his time in meetings for a month. He found that 60% of meeting time could have been handled with a well-structured async communication supported by AI. The other 40% required human presence more than ever.",artificial intelligence;machine learning;AI;technology;meetings;communication;changes,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\019.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\19_AI_Meetings_and_Communication.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,20,Measuring AI ROI,Knowing What Is Actually Working,Series 2: AI at Work,20,Enrique Padrón,"How to define success before you start, measure time saved vs. value created, and communicate AI impact to stakeholders in terms they find credible.

Isabel's CFO asked for a report on the ROI of the company's AI investments. She realized she had not set up measurement from the start. Building the measurement framework retrospectively was much harder than building it before deployment.",artificial intelligence;machine learning;AI;technology;measuring;knowing;actually,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\020.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_02_AI_at_Work\20_Measuring_AI_ROI.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,21,The AI Tool Landscape,A Map of the Ecosystem You Need to Navigate,Series 3: AI Tools,21,Enrique Padrón,"Categories, evaluation frameworks, and a practical method for choosing the AI tools that match your actual use cases — without the noise.

Every week a new AI tool appears claiming to be revolutionary. Most are not. Some are genuinely useful. A few will define how we work for years. The challenge is not finding AI tools — it is navigating the noise.",artificial intelligence;machine learning;AI;technology;landscape;ecosystem;navigate,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\021.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\21_The_AI_Tool_Landscape.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,22,ChatGPT in Depth,Everything You Need to Know About the Most Popular AI,Series 3: AI Tools,22,Enrique Padrón,"From custom instructions to code interpreter to custom GPTs: the expert user's guide to getting real value from the world's most used AI assistant.

ChatGPT has more than 100 million users. Most of them use a fraction of its capabilities. This book is for the user who wants to go from casual to expert.",artificial intelligence;machine learning;AI;technology;chatgpt;depth;everything,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\022.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\22_ChatGPT_in_Depth.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,23,Claude and Anthropic,The AI Built for Safety and Long-Context Reasoning,Series 3: AI Tools,23,Enrique Padrón,"Anthropic's design philosophy, Constitutional AI, Claude's strengths in long-document analysis and careful reasoning, and when to choose Claude over alternatives.

When Anthropic published its Constitutional AI paper, it marked a different approach to building AI: starting from values, not just capabilities. Understanding what Anthropic is trying to do helps you understand what Claude is designed to do.",artificial intelligence;machine learning;AI;technology;claude;anthropic;built,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\023.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\23_Claude_and_Anthropic.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,24,Midjourney and AI Image Generation,Creating Visual Content with AI,Series 3: AI Tools,24,Enrique Padrón,"How diffusion models work, how to write effective visual prompts, and how to integrate AI image generation into professional visual workflows.

Ruben's design budget was a fraction of his clients' expectations. AI image generation changed the economics. But using it well — producing images that communicate, not just images that look impressive — required understanding both the tools and the aesthetics.",artificial intelligence;machine learning;AI;technology;midjourney;image;generation,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\024.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\24_Midjourney_and_AI_Image_Generation.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,25,AI for Audio and Video,Voice Cloning Transcription and Automated Editing,Series 3: AI Tools,25,Enrique Padrón,"Transcription, voice synthesis, automated video editing, and the ethical questions around synthetic audio and video in professional contexts.

The podcast that would have taken three hours to edit now takes forty minutes. The video that required a studio voice-over now uses a synthetic voice indistinguishable from a real one. The tools exist. The question is how to use them responsibly and effectively.",artificial intelligence;machine learning;AI;technology;audio;video;voice,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\025.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\25_AI_for_Audio_and_Video.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,26,AI Search,How Perplexity and Others Are Reinventing How We Find Information,Series 3: AI Tools,26,Enrique Padrón,"The shift from retrieving pages to synthesizing answers, and what it means for research, fact-checking, and the economics of information.

Google changed how we find information. AI search is changing it again — from retrieving pages to synthesizing answers. For the first time in decades, the search interface itself is being reinvented.",artificial intelligence;machine learning;AI;technology;search;perplexity;others,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\026.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\26_AI_Search.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,27,AI Productivity Tools,Notion AI Zapier and the Automation Ecosystem,Series 3: AI Tools,27,Enrique Padrón,"The no-code automation stack: connecting your tools, documenting your processes, and building workflows that run without constant human intervention.

Isabel's team documented nothing. Every process lived in people's heads. When two key people left in the same quarter, institutional knowledge walked out the door. AI documentation tools came too late for that crisis — but not for the next one.",artificial intelligence;machine learning;AI;technology;productivity;tools;notion,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\027.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\27_AI_Productivity_Tools.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,28,AI for Business Applications,CRM Marketing and Customer Service Tools,Series 3: AI Tools,28,Enrique Padrón,"AI in Salesforce, HubSpot, and customer service platforms: what works, what does not, and how to avoid the deployment pitfalls that most companies hit.

Elena's company deployed Salesforce Einstein, HubSpot AI, and a customer service chatbot in the same quarter. The results were mixed: one transformed the sales process, one was underwhelming, and one caused a customer service crisis. The difference was not the technology.",artificial intelligence;machine learning;AI;technology;business;applications;marketing,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\028.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\28_AI_for_Business_Applications.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,29,Running Local AI,Privacy Control and Open-Source Models,Series 3: AI Tools,29,Enrique Padrón,"When cloud AI is not enough: running Llama and other open-source models locally for privacy, customization, and control over sensitive data.

When the Snowden revelations came, many people began routing email through encrypted servers. The instinct — control over sensitive data — is healthy. For AI, running models locally offers the same kind of control. For some use cases, it matters enormously.",artificial intelligence;machine learning;AI;technology;running;local;privacy,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\029.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\29_Running_Local_AI.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,30,Choosing Your AI Stack,Building the Setup That Works for You,Series 3: AI Tools,30,Enrique Padrón,"A systematic approach to auditing, designing, and maintaining your personal or team AI stack — based on use cases, not fear of missing out.

By mid-2025, Ruben was paying for seven AI subscriptions. He was using three of them regularly. Two he had forgotten he had. One he was duplicating with another tool. The stack had grown without design. This book is about designing it.",artificial intelligence;machine learning;AI;technology;choosing;stack;building,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\030.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_03_AI_Tools\30_Choosing_Your_AI_Stack.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,31,The Death and Rebirth of Creativity,What AI Changes About Human Creation,Series 4: AI and Creativity,31,Enrique Padrón,"How AI changes the economics of creative production — and why human creativity, far from becoming irrelevant, becomes more meaningful precisely because it does not have to be efficient.

When the first AI-generated image won an art competition in 2022, the outrage was immediate. The artist who submitted it said he was making a point. The artists who lost said the point was made at their expense. Both were right.",artificial intelligence;machine learning;AI;technology;death;rebirth;creativity,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\031.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_04_AI_and_Creativity\31_The_Death_and_Rebirth_of_Creativity.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,32,AI for Writers and Storytellers,Collaboration Without Losing Your Voice,Series 4: AI and Creativity,32,Enrique Padrón,"How to use AI as a creative partner without surrendering the voice that makes your writing yours. Practical techniques for brainstorming, drafting, and editing with AI.

Ruben had published a newsletter for three years. His voice — the reason 8,000 people subscribed — was the one thing AI could mimic but not replicate. When he started using AI to help write, preserving that voice became the central challenge.",artificial intelligence;machine learning;AI;technology;writers;storytellers;collaboration,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\032.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_04_AI_and_Creativity\32_AI_for_Writers_and_Storytellers.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,33,AI for Visual Artists and Designers,New Tools New Questions,Series 4: AI and Creativity,33,Enrique Padrón,"Midjourney, DALL-E, and Stable Diffusion in professional design workflows: what AI does for visual production and what it changes about the value of visual judgment.

Isabel's company hired a freelance designer who used AI for 80% of her production. The work met every brief. The question no one had thought to ask: does it matter how it was made?",artificial intelligence;machine learning;AI;technology;visual;artists;designers,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\033.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_04_AI_and_Creativity\33_AI_for_Visual_Artists_and_Designers.md,2.99,2.99,70%,2.084,No
AI & Artificial Intelligence,en,34,AI for Musicians and Audio Creators,The Sound of Machine Collaboration,Series 4: AI and Creativity,34,Enrique Padrón,"AI music generation, sound design, mixing assistance, and the artistic and legal questions that arise when machines compose alongside humans.

The producer who used to spend four hours on a drum arrangement can now generate thirty variations in twenty minutes. The question is not whether this changes music. It is what kind of changes are gains and what kind are losses.",artificial intelligence;machine learning;AI;technology;musicians;audio;creators,Computers & Technology > Artificial Intelligence,Nonfiction > Science & Math > Technology,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence/Covers/images\034.jpg,c:\Users\usuario\Desktop\IA\Libros\AI_Artificial_Intelligence\Series_04_AI_and_Creativity\34_AI_for_Musicians_and_Audio_Creators.md,2.99,2.99,70%,2.084,No
